version	path	baseline_class	source_sha256	target_contract_id
20261012093000	db/migrations/platform_core/V20261012093000__platform_core_identity_login_attempts.sql	APPLY_IMMUTABLE_BASELINE	a125f42ca3573daba464b84d5a521f01a28fc007531cc6c54140696b0b666580	IMMUTABLE_BYTES
20261012093500	db/migrations/platform_core/V20261012093500__platform_core_identity_account_lockouts.sql	APPLY_IMMUTABLE_BASELINE	6b25253500af6603df72babb072ca99716029152f8945ba1473e9c75822ece68	IMMUTABLE_BYTES
20261012094000	db/migrations/platform_core/V20261012094000__platform_core_identity_breakglass_activations.sql	APPLY_IMMUTABLE_BASELINE	e2cae9713d4bb6092bbc31fd1fa8d735e716e402b1f5c0684a8122c10c90426c	IMMUTABLE_BYTES
20261012094500	db/migrations/platform_core/V20261012094500__platform_core_backfill_system_principal_account.sql	APPLY_IMMUTABLE_BASELINE	ee3daa49a446c714e09b89e12c6b9d27658b7e254fd0e9cc29db0223fd321ef6	IMMUTABLE_BYTES
20261012100000	db/migrations/platform_authz/V20261012100000__platform_authz_permission_items.sql	APPLY_IMMUTABLE_BASELINE	d3c8a83169b50799b542f99b2b2f803b2149f10b1f703ac1d1435356f801485b	IMMUTABLE_BYTES
20261012100500	db/migrations/platform_authz/V20261012100500__platform_authz_object_scope_bindings.sql	APPLY_IMMUTABLE_BASELINE	fb29dbb378c6ffc47e63943a87e98bc66dd399c9e853b0ce007d6772252a72a3	IMMUTABLE_BYTES
20261012101000	db/migrations/platform_authz/V20261012101000__platform_authz_roles.sql	APPLY_IMMUTABLE_BASELINE	20d17b0d02747c5996b013de2dd4eb0f1a32cc741358f2bd61bb8124d5dbecc8	IMMUTABLE_BYTES
20261012101500	db/migrations/platform_authz/V20261012101500__platform_authz_role_permission_grants.sql	APPLY_IMMUTABLE_BASELINE	2700cc168880fcab45c6bf4f5cc108cfac2ef76ceb3894c407d119766a8252c4	IMMUTABLE_BYTES
20261012102000	db/migrations/platform_authz/V20261012102000__platform_authz_access_policies.sql	APPLY_IMMUTABLE_BASELINE	5c8d1fbd1fbf12b627d84abd7036a2d57d85a9317f2f12857fb24c30c7b015a3	IMMUTABLE_BYTES
20261012102500	db/migrations/platform_authz/V20261012102500__platform_authz_field_permissions.sql	APPLY_IMMUTABLE_BASELINE	23ae07b22473331fced248bc3045c022105e868e1ea99f70d535fc9961840d15	IMMUTABLE_BYTES
